Country,Mode,Powertrain,Year,Value,Mass_vehicule,Scenario
Canada,Cars,BEV,2024,190000.0,1.0,Canada Net-zero
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2024,11000.0,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2024,13.0,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2024,20.0,1.0,Canada Net-zero
Canada,Trucks,FCEV,2024,6.0,3.6892781241792854,Canada Net-zero
Canada,Cars,PHEV,2024,62000.0,1.0,Canada Net-zero
Canada,Vans,PHEV,2024,6400.0,1.9577507575642077,Canada Net-zero
Canada,2 and 3 wheelers,BEV,2025,270.0108876383884,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2025,333.54286120036215,5.6752374182090595,Canada Net-zero
Canada,Cars,BEV,2025,301776.87441937526,1.0,Canada Net-zero
Canada,Trucks,BEV,2025,3176.5986780986873,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2025,17471.29272954278,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2025,20.647891407641467,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2025,31.76598678098687,1.0,Canada Net-zero
Canada,Trucks,FCEV,2025,9.529796034296062,3.6892781241792854,Canada Net-zero
Canada,Cars,PHEV,2025,98474.5590210593,1.0,Canada Net-zero
Canada,Vans,PHEV,2025,10165.1157699158,1.9577507575642077,Canada Net-zero
Canada,2 and 3 wheelers,BEV,2026,418.67022881792207,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2026,517.1808708927273,5.6752374182090595,Canada Net-zero
Canada,Cars,BEV,2026,467925.5498553247,1.0,Canada Net-zero
Canada,Trucks,BEV,2026,4925.532103740259,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2026,27090.426570571428,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2026,32.01595867431169,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2026,49.255321037402595,1.0,Canada Net-zero
Canada,Trucks,FCEV,2026,14.776596311220779,3.6892781241792854,Canada Net-zero
Canada,Cars,PHEV,2026,152691.49521594803,1.0,Canada Net-zero
Canada,Vans,PHEV,2026,15761.702731968831,1.9577507575642077,Canada Net-zero
Canada,2 and 3 wheelers,BEV,2027,636.9776744241091,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2027,786.8547742886053,5.6752374182090595,Canada Net-zero
Canada,Cars,BEV,2027,711916.2243563571,1.0,Canada Net-zero
Canada,Trucks,BEV,2027,7493.8549932248125,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2027,41216.202462736466,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2027,48.710057455961284,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2027,74.93854993224812,1.0,Canada Net-zero
Canada,Trucks,FCEV,2027,22.481564979674438,3.6892781241792854,Canada Net-zero
Canada,Cars,PHEV,2027,232309.50478996919,1.0,Canada Net-zero
Canada,Vans,PHEV,2027,23980.3359783194,1.9577507575642077,Canada Net-zero
Canada,2 and 3 wheelers,BEV,2028,901.4469316386487,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2028,1113.5520920242132,5.6752374182090595,Canada Net-zero
Canada,Cars,BEV,2028,1007499.511831431,1.0,Canada Net-zero
Canada,Trucks,BEV,2028,10605.25801927822,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2028,58328.91910603022,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2028,68.93417712530844,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2028,106.05258019278222,1.0,Canada Net-zero
Canada,Trucks,FCEV,2028,31.815774057834663,3.6892781241792854,Canada Net-zero
Canada,Cars,PHEV,2028,328762.9985976248,1.0,Canada Net-zero
Canada,Vans,PHEV,2028,33936.82566169031,1.9577507575642077,Canada Net-zero
Canada,2 and 3 wheelers,BEV,2029,1212.3777655489087,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2029,1497.6431221486519,5.6752374182090595,Canada Net-zero
Canada,Cars,BEV,2029,1355010.4438487804,1.0,Canada Net-zero
Canada,Trucks,BEV,2029,14263.26782998716,3.6892781241792854,Canada Net-zero
Canada,Vans,BEV,2029,78447.97306492938,1.9577507575642077,Canada Net-zero
Canada,Buses,FCEV,2029,92.71124089491654,5.6752374182090595,Canada Net-zero
Canada,Cars,FCEV,2029,142.6326782998716,1.0,Canada Net-zero
Canada,Trucks,FCEV,2029,42.789803489961486,3.6892781241792854,Canada Net-zero
Canada,Cars,PHEV,2029,442161.302729602,1.0,Canada Net-zero
Canada,Vans,PHEV,2029,45642.45705595891,1.9577507575642077,Canada Net-zero
Canada,2 and 3 wheelers,BEV,2030,1542.5388315907194,0.09808569078889517,Canada Net-zero
Canada,Buses,BEV,2030,1905.489144906183,5.6752374182090595,Canada Net-zero
