Country,Mode,Battery_type,Powertrain,Year,EV_sales,Scenario,Associated_battery_cap,Installed_battery_cap
Canada,Vans,All,BEV,2044,162704.96201041903,Current Measures,75.0,12202872.150781427
Canada,Buses,All,FCEV,2044,192.28768237594974,Current Measures,35.0,6730.068883158241
Canada,Cars,All,FCEV,2044,295.8272036553073,Current Measures,1.75,517.6976063967878
Canada,Trucks,All,FCEV,2044,88.74816109659218,Current Measures,350.0,31061.856383807266
Canada,Cars,All,PHEV,2044,917064.3313314526,Current Measures,15.0,13755964.969971789
Canada,Vans,All,PHEV,2044,94664.70516969834,Current Measures,21.8,2063690.5726994239
Canada,2 and 3 wheelers,All,BEV,2045,2616.594783571886,Current Measures,3.0,7849.784350715659
Canada,Buses,All,BEV,2045,3232.26414441233,Current Measures,300.0,969679.243323699
Canada,Cars,All,BEV,2045,2924429.463992108,Current Measures,65.0,190087915.15948704
Canada,Trucks,All,BEV,2045,30783.46804202219,Current Measures,350.0,10774213.814707765
Canada,Vans,All,BEV,2045,169309.07423112204,Current Measures,75.0,12698180.567334153
Canada,Buses,All,FCEV,2045,200.09254227314423,Current Measures,35.0,7003.238979560048
Canada,Cars,All,FCEV,2045,307.8346804202219,Current Measures,1.75,538.7106907353883
Canada,Trucks,All,FCEV,2045,92.35040412606656,Current Measures,350.0,32322.6414441233
Canada,Cars,All,PHEV,2045,954287.5093026878,Current Measures,15.0,14314312.639540318
Canada,Vans,All,PHEV,2045,98507.09773447101,Current Measures,21.8,2147454.730611468
Canada,2 and 3 wheelers,All,BEV,2046,2712.5428789006387,Current Measures,3.0,8137.628636701917
Canada,Buses,All,BEV,2046,3350.7882621713775,Current Measures,300.0,1005236.4786514132
Canada,Cars,All,BEV,2046,3031665.570536008,Current Measures,65.0,197058262.08484054
Canada,Trucks,All,BEV,2046,31912.269163536926,Current Measures,350.0,11169294.207237924
Canada,Vans,All,BEV,2046,175517.48039945308,Current Measures,75.0,13163811.029958982
Canada,Buses,All,FCEV,2046,207.42974956299003,Current Measures,35.0,7260.041234704651
Canada,Cars,All,FCEV,2046,319.1226916353693,Current Measures,1.75,558.4647103618962
Canada,Trucks,All,FCEV,2046,95.73680749061077,Current Measures,350.0,33507.88262171377
Canada,Cars,All,PHEV,2046,989280.3440696447,Current Measures,15.0,14839205.16104467
Canada,Vans,All,PHEV,2046,102119.26132331816,Current Measures,21.8,2226199.896848336
Canada,2 and 3 wheelers,All,BEV,2047,2802.7815469288153,Current Measures,3.0,8408.344640786447
