x,y,country_iso3_code,erml_commodity,concat_figure_notes_text,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,year,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code
105.527762,46.198899,MNG,"Copper, refined",,105.527762,,46.198899,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,9661,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Mongolia,,,MN,Copper,
105.527762,46.198899,MNG,"Copper (mine production, metal content)",,105.527762,Ores and concentrates (metal content),46.198899,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,488355,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Mongolia,,,MN,Copper,
-6.587161,31.846552,MAR,"Copper (mine production, metal content)",Estimates.,-6.587161,Ores and concentrates (metal content),31.846552,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,32000,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Morocco,,,MA,Copper,*
96.111983,21.798486,MMR,"Copper (mine production, metal content)",,96.111983,Ores and concentrates (metal content),21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,0,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Myanmar,,,MM,Copper,
16.971256999999998,-20.703654,NAM,"Copper, refined",,16.971257,,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,0,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Namibia,,,NA,Copper,
10.262436,61.687073999999996,NOR,"Copper, smelter",,10.262436,,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,20086,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Norway,,,NO,Copper,
23.214465999999998,-30.457874999999998,ZAF,"Copper (mine production, metal content)",,23.214466,Ores and concentrates (metal content),-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,50023,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,South Africa,,,ZA,Copper,
-3.562909,40.389544,ESP,"Copper, smelter",Estimates.,-3.562909,,40.389544,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,41,240000,Smelter production of copper,850,tonnes (metric),Production,"copper, smelter",,Spain,,,ES,Copper,*
-3.562909,40.389544,ESP,"Copper, refined",,-3.562909,,40.389544,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,42,334200,Production of refined copper,928,tonnes (metric),Production,"copper, refined",,Spain,,,ES,Copper,
-3.562909,40.389544,ESP,"Copper (mine production, metal content)",,-3.562909,Ores and concentrates (metal content),40.389544,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,2023-01-01 00:00:00,40,114786,Mine production of copper,19941,tonnes (metal content),Production,"copper, mine",,Spain,,,ES,Copper,
